source,target,weight
hsumantri00,vidio,1
smokeeybbq,realmadridindo1,1
sebutsajalahyo,DemonSlime21,1
sebutsajalahyo,CityzensID,1
Zl9528047580989,DemonSlime21,1
Zl9528047580989,CityzensID,1
Zl9528047580989,vidio,1
wantooo__,Hendra_dzeko10,1
wantooo__,WatchmenID,1
wantooo__,KaijuNo8_O_EN,1
rizkionize,CityzensID,1
rizkionize,vidio,1
vidio,nulaipe,1
TheLilywhitesID,sokka_thfc,1
itsrey__,CityzensID,1
itsrey__,vidio,1
bhulukhuduktv,RyanFauzan12,1
bhulukhuduktv,Spotv_sports,1
inginuangbanyak,vidio,1
sokka_thfc,TheLilywhitesID,1
sokka_thfc,IndoSpurs,1
sokka_thfc,vidio,1
ade_setiono13,vidio,1
andryn170403,kdrama_menfess,1
sebutsajalahyo,vidio,1
rizkionize,DemonSlime21,1
day_thatsme,vidio,1
wan_iwann8,vidio,1
lovelymiloooo,vidio,1
lovelymiloooo,lilily08,1
masyoko,vidio,1
sittaazra,vidio,1
nungkiki,vidio,1
vidio,runbruhhh,1
nasrulakbar,Telkomsel,1
SamAmy_TheCant,tirta_cipeng,1
Chamelleon_,vidio,1
ordinaaaryy,nctzenbase,1
ordinaaaryy,vidio,1
NanangWisnu_,vidio,1
NanangWisnu_,sudahtidakbotak,1
minatagram37,vidio,1
_andikasa,tirta_cipeng,1
_andikasa,vidio,1
vidio,zefaryne,1
zefaryne,vidio,1
narajawa,dondipta93,1
narajawa,vidio,1
purharjo,AdjieSanPutro,1
purharjo,vidio,1
vidio,YAngesta96969,1
vidio,gedearys18,1
gedearys18,MilanUpdate,1
gedearys18,vidio,1
janiiii______,vidio,1
SamAmy_TheCant,vidio,1
mahrusugali,tirta_cipeng,1
mahrusugali,vidio,1
Julyana_ik,vidio,1
originryuna2,BadmintonTalk,1
originryuna2,vidio,1
kekey60507506,bhulukhuduktv,1
andriandjaya_,BadmintonTalk,1
diamondswanlake,BadmintonTalk,1
diamondswanlake,vidio,1
Jeeyroo,prasetyo4869,1
mistaeribox,vidio,1
mistaeribox,mstofa_,1
mistaeribox,salapoyo,1
andumberrr,vidio,1
pakbudbugs,BadmintonTalk,1
pakbudbugs,vidio,1
utdfocusid,vidio,1
Julyana_ik,BadmintonTalk,1
vidio,tattock,1
kamujauhdekat,IDGoonerscom,1
kamujauhdekat,vidio,1
Chamelleon_,DhitaHelvinda,1
Chamelleon_,nctzenbase,1
RizalBojesz,vidio,1
Jaenees1,vidio,1
daguan26,vidio,1
akuluthfi,vidio,1
ZapMav,msl1896,1
ZapMav,djaycoholyc,1
